frame.number,frame.time_relative,eth.src,eth.dst,eth.type,ip.src,ip.dst,arp.src.hw_mac,arp.dst.hw_mac,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,frame.len,icmp.type,icmp.code,data,Label
"1496","322.613466131",,,,"10.0.3.15","208.67.220.220",,,,,"44067","53","91",,,,0
"1497","322.650789880",,,,"208.67.220.220","10.0.3.15",,,,,"53","44067","107",,,,0
"1498","322.650875868",,,,"208.67.220.220","10.0.3.15",,,,,"53","44067","145",,,,0
"1499","322.651302345",,,,"10.0.3.15","192.35.177.23",,,"35978","80",,,"76",,,,0
"1500","322.760788645",,,,"72.163.4.185","10.0.3.15",,,"443","60376",,,"107",,,,0
"1501","322.804217018",,,,"10.0.3.15","72.163.4.185",,,"60376","443",,,"56",,,,0
"1502","322.817892896",,,,"192.35.177.23","10.0.3.15",,,"80","35978",,,"62",,,,0
"1503","322.817972836",,,,"10.0.3.15","192.35.177.23",,,"35978","80",,,"56",,,,0
"1504","322.818464122",,,,"10.0.3.15","192.35.177.23",,,"35978","80",,,"484",,,,0
"1505","322.818707306",,,,"192.35.177.23","10.0.3.15",,,"80","35978",,,"62",,,,0
"1506","322.992882050",,,,"192.35.177.23","10.0.3.15",,,"80","35978",,,"2179",,,,0
"1507","322.992948271",,,,"10.0.3.15","192.35.177.23",,,"35978","80",,,"56",,,,0
"1508","322.995928869",,,,"10.0.3.15","72.163.4.185",,,"60376","443",,,"1040",,,,0
"1509","322.996158434",,,,"72.163.4.185","10.0.3.15",,,"443","60376",,,"62",,,,0
"1510","323.144394714",,,,"72.163.4.185","10.0.3.15",,,"443","60376",,,"215",,,,0
"1511","323.144429953",,,,"10.0.3.15","72.163.4.185",,,"60376","443",,,"56",,,,0
"1512","323.146292895",,,,"72.163.4.185","10.0.3.15",,,"443","60376",,,"87",,,,0
"1513","323.146293155",,,,"72.163.4.185","10.0.3.15",,,"443","60376",,,"62",,,,0
"1514","323.146326681",,,,"10.0.3.15","72.163.4.185",,,"60376","443",,,"56",,,,0
"1515","323.146706554",,,,"10.0.3.15","72.163.4.185",,,"60376","443",,,"87",,,,0
"1516","323.146729766",,,,"10.0.3.15","72.163.4.185",,,"60376","443",,,"56",,,,0
"1517","323.146891348",,,,"72.163.4.185","10.0.3.15",,,"443","60376",,,"62",,,,0
"1518","323.146891548",,,,"72.163.4.185","10.0.3.15",,,"443","60376",,,"62",,,,0
"1519","323.152519628",,,,"10.0.3.15","208.67.220.220",,,,,"58249","53","75",,,,0
"1520","323.152546946",,,,"10.0.3.15","208.67.220.220",,,,,"58249","53","75",,,,0
"1521","323.193652848",,,,"208.67.220.220","10.0.3.15",,,,,"53","58249","297",,,,0
