frame.number,frame.time_relative,eth.src,eth.dst,eth.type,ip.src,ip.dst,arp.src.hw_mac,arp.dst.hw_mac,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,frame.len,icmp.type,icmp.code,data,Label
"1","0.000000000",,,,"10.10.10.5","10.10.10.2",,,,,,,"44","8","0",,3
"2","0.000042510",,,,"10.10.10.2","10.10.10.5",,,,,,,"44","8","0",,3
"3","0.000060073",,,,,,"08:00:27:c5:8a:4d","08:00:27:7a:78:e3",,,,,"44",,,,3
"4","0.000089698",,,,,,"08:00:27:c5:8a:4d","08:00:27:e2:f2:de",,,,,"44",,,,3
"5","0.000791995",,,,"10.10.10.2","10.10.10.5",,,,,,,"62","0","0",,3
"6","0.000900608",,,,"10.10.10.5","10.10.10.2",,,,,,,"62","0","0",,3
"7","0.005196381",,,,"10.10.10.2","10.10.10.5",,,,,,,"44","0","0",,3
"8","0.005279667",,,,"10.10.10.5","10.10.10.2",,,,,,,"44","0","0",,3
"9","0.010591434",,,,"10.10.10.4","10.10.10.2",,,,,,,"44","8","0",,3
"10","0.010677776",,,,"10.10.10.2","10.10.10.4",,,,,,,"44","8","0",,3
"11","0.010726557",,,,,,"08:00:27:c5:8a:4d","08:00:27:7a:78:e3",,,,,"44",,,,3
"12","0.011012163",,,,,,"08:00:27:c5:8a:4d","08:00:27:cb:7e:f5",,,,,"44",,,,3
"13","0.012030031",,,,"10.10.10.2","10.10.10.4",,,,,,,"62","0","0",,3
"14","0.012030311",,,,"10.10.10.4","10.10.10.2",,,,,,,"62","0","0",,3
"15","0.023056931",,,,"10.10.10.2","10.10.10.4",,,,,,,"44","0","0",,3
"16","0.023157700",,,,"10.10.10.4","10.10.10.2",,,,,,,"44","0","0",,3
"17","0.025188327",,,,"10.10.10.3","10.10.10.2",,,,,,,"44","8","0",,3
"18","0.025256695",,,,"10.10.10.2","10.10.10.3",,,,,,,"44","8","0",,3
"19","0.025281792",,,,,,"08:00:27:c5:8a:4d","08:00:27:7a:78:e3",,,,,"44",,,,3
"20","0.025368605",,,,,,"08:00:27:c5:8a:4d","08:00:27:e3:b4:61",,,,,"44",,,,3
"21","0.025981854",,,,"10.10.10.2","10.10.10.3",,,,,,,"62","0","0",,3
"22","0.027953180",,,,"10.10.10.2","10.10.10.3",,,,,,,"44","0","0",,3
"23","1.035676257",,,,,,"08:00:27:c5:8a:4d","08:00:27:7a:78:e3",,,,,"44",,,,3
"24","1.035737973",,,,,,"08:00:27:c5:8a:4d","08:00:27:e2:f2:de",,,,,"44",,,,3
"25","1.045968551",,,,,,"08:00:27:c5:8a:4d","08:00:27:7a:78:e3",,,,,"44",,,,3
"26","1.046036869",,,,,,"08:00:27:c5:8a:4d","08:00:27:cb:7e:f5",,,,,"44",,,,3
"27","1.056219467",,,,,,"08:00:27:c5:8a:4d","08:00:27:7a:78:e3",,,,,"44",,,,3
"28","1.056264170",,,,,,"08:00:27:c5:8a:4d","08:00:27:e3:b4:61",,,,,"44",,,,3
"29","2.066777398",,,,,,"08:00:27:c5:8a:4d","08:00:27:7a:78:e3",,,,,"44",,,,3
"30","2.066822202",,,,,,"08:00:27:c5:8a:4d","08:00:27:e2:f2:de",,,,,"44",,,,3
"31","2.076953333",,,,,,"08:00:27:c5:8a:4d","08:00:27:7a:78:e3",,,,,"44",,,,3
"32","2.076996965",,,,,,"08:00:27:c5:8a:4d","08:00:27:cb:7e:f5",,,,,"44",,,,3
"33","2.088276549",,,,,,"08:00:27:c5:8a:4d","08:00:27:7a:78:e3",,,,,"44",,,,3
"34","2.088333426",,,,,,"08:00:27:c5:8a:4d","08:00:27:e3:b4:61",,,,,"44",,,,3
"35","3.204734215",,,,,,"08:00:27:c5:8a:4d","08:00:27:7a:78:e3",,,,,"44",,,,3
"36","3.204824054",,,,,,"08:00:27:c5:8a:4d","08:00:27:e2:f2:de",,,,,"44",,,,3
"37","3.215047368",,,,,,"08:00:27:c5:8a:4d","08:00:27:7a:78:e3",,,,,"44",,,,3
"38","3.215139220",,,,,,"08:00:27:c5:8a:4d","08:00:27:cb:7e:f5",,,,,"44",,,,3
"39","3.225296731",,,,,,"08:00:27:c5:8a:4d","08:00:27:7a:78:e3",,,,,"44",,,,3
"40","3.225349901",,,,,,"08:00:27:c5:8a:4d","08:00:27:e3:b4:61",,,,,"44",,,,3
"41","4.235700894",,,,,,"08:00:27:c5:8a:4d","08:00:27:7a:78:e3",,,,,"44",,,,3
"42","4.235766207",,,,,,"08:00:27:c5:8a:4d","08:00:27:e2:f2:de",,,,,"44",,,,3
"43","4.245949035",,,,,,"08:00:27:c5:8a:4d","08:00:27:7a:78:e3",,,,,"44",,,,3
"44","4.246009709",,,,,,"08:00:27:c5:8a:4d","08:00:27:cb:7e:f5",,,,,"44",,,,3
"45","4.256158633",,,,,,"08:00:27:c5:8a:4d","08:00:27:7a:78:e3",,,,,"44",,,,3
"46","4.256199330",,,,,,"08:00:27:c5:8a:4d","08:00:27:e3:b4:61",,,,,"44",,,,3
"47","5.115625628",,,,,,"08:00:27:c5:8a:4d","00:00:00:00:00:00",,,,,"44",,,,3
"48","5.115677695",,,,,,"08:00:27:c5:8a:4d","00:00:00:00:00:00",,,,,"44",,,,3
"49","5.115702963",,,,,,"08:00:27:c5:8a:4d","00:00:00:00:00:00",,,,,"44",,,,3
"50","5.116621524",,,,,,"08:00:27:e3:b4:61","08:00:27:c5:8a:4d",,,,,"62",,,,3
"51","5.116621945",,,,,,"08:00:27:7a:78:e3","08:00:27:c5:8a:4d",,,,,"62",,,,3
"52","5.116739215",,,,,,"08:00:27:e2:f2:de","08:00:27:c5:8a:4d",,,,,"62",,,,3
"53","5.119601030",,,,,,"08:00:27:c5:8a:4d","00:00:00:00:00:00",,,,,"44",,,,3
"54","5.120322562",,,,,,"08:00:27:cb:7e:f5","08:00:27:c5:8a:4d",,,,,"62",,,,3
"55","14.266490324",,,,,,"08:00:27:c5:8a:4d","08:00:27:7a:78:e3",,,,,"44",,,,3
